12	1	2	1	0
13	1	3	1	0
14	1	4	1	0
15	1	5	1	0
16	1	6	1	0
23	2	3	1	0
24	2	4	1	0
25	2	5	1	0
26	2	6	1	0
34	3	4	1	0
35	3	5	1	0
36	3	6	1	0
45	4	5	1	0
46	4	6	1	0
56	5	6	1	0
12	1	2	2	0
13	1	3	2	0
14	1	4	2	0
15	1	5	2	0
16	1	6	2	0
23	2	3	2	0
24	2	4	2	0
25	2	5	2	0
26	2	6	2	0
34	3	4	2	0
35	3	5	2	0
36	3	6	2	0
45	4	5	2	0
46	4	6	2	0
56	5	6	2	0
12	1	2	1	0
13	1	3	1	0
14	1	4	1	0
15	1	5	1	0
16	1	6	1	0
23	2	3	1	0
24	2	4	1	0
25	2	5	1	0
26	2	6	1	0
34	3	4	1	0
35	3	5	1	0
36	3	6	1	0
45	4	5	1	0
46	4	6	1	0
56	5	6	1	0
12	1	2	2	0
13	1	3	2	0
14	1	4	2	0
15	1	5	2	0
16	1	6	2	0
23	2	3	2	0
24	2	4	2	0
25	2	5	2	0
26	2	6	2	0
34	3	4	2	0
35	3	5	2	0
36	3	6	2	0
45	4	5	2	0
46	4	6	2	0
56	5	6	2	0
12	1	2	1	0
13	1	3	1	0
14	1	4	1	0
15	1	5	1	0
16	1	6	1	0
23	2	3	1	0
24	2	4	1	0
25	2	5	1	0
26	2	6	1	0
34	3	4	1	0
35	3	5	1	0
36	3	6	1	0
45	4	5	1	0
46	4	6	1	0
56	5	6	1	0
12	1	2	2	0
13	1	3	2	0
14	1	4	2	0
15	1	5	2	0
16	1	6	2	0
23	2	3	2	0
24	2	4	2	0
25	2	5	2	0
26	2	6	2	0
34	3	4	2	0
35	3	5	2	0
36	3	6	2	0
45	4	5	2	0
46	4	6	2	0
56	5	6	2	0
